policy,loss_ratio,dropped_Mb,waste_avoidable_pct,waste_unavoidable_pct,served_Mbps,backlog_mean_Mb,backlog_sd_Mb,backlog_max_Mb,backlog_p95_Mb,backlog_p99_Mb,drop_c0_Mb,drop_c1_Mb,drop_c2_Mb,backlog_mean_c0_Mb,backlog_sd_c0_Mb,backlog_max_c0_Mb,backlog_mean_c1_Mb,backlog_sd_c1_Mb,backlog_max_c1_Mb,backlog_mean_c2_Mb,backlog_sd_c2_Mb,backlog_max_c2_Mb,backlog_max_cell_Mb,backlog_mean_cell_max_Mb,backlog_imbalance_Mb,backlog_p95_c0_Mb,backlog_p99_c0_Mb,backlog_p95_c1_Mb,backlog_p99_c1_Mb,backlog_p95_c2_Mb,backlog_p99_c2_Mb,forecast_mase,forecast_sd_ratio,slot_err,forecast_mase_c0,forecast_sd_ratio_c0,forecast_mase_c1,forecast_sd_ratio_c1,forecast_mase_c2,forecast_sd_ratio_c2,forecast_mase_eq,forecast_mase_worst,forecast_sd_ratio_eq,slot_err_c0,slot_err_c1,slot_err_c2,deficit_Mb_per_period,surplus_Mb_per_period,replicate,sample_dt,n_decisions,train_seconds,rho,offered_Mbps,beam_Mbps,buffer_MiB,test_hours,alpha,alpha_c0,H_nominal_c0,alpha_c1,H_nominal_c1,alpha_c2,H_nominal_c2,H_meas_c0,H_meas_c1,H_meas_c2,n_sources,n_sources_c0,n_sources_c1,n_sources_c2,fixed_weights,adaptive_mean,backlog_aware,_rel_fixed
linearp,5.839018649944191e-06,31.52137548699829,1.3456025236797808,0.0,749.7734208200386,2.0460241297328943,1.6632312022982252,20.91160931125612,5.4201114885790345,8.313732386701396,10.907435544568235,15.663657349624547,4.950282592805508,0.6732832768504132,0.8803888353601647,8.201838463017769,0.708516451535096,0.9277430662236188,8.388608,0.6642244013470844,0.8325831424201492,8.360651785820004,8.388608,0.708516451535096,0.044292050188011606,2.4064357600772612,4.461079586657834,2.6228367578026615,4.707550336786279,2.3670191469098802,4.157234852774295,0.8465436369320981,0.5160519117038608,3.1238195647784917,0.8361066482488628,0.5153136722684126,0.8555730243202093,0.539049966114503,0.8479152334276997,0.49040264534709294,0.8465316353322573,0.8555730243202093,0.5149220945766695,3.082836673158621,3.134901787687492,3.153720233489362,0.14639819016818226,5.257304653817393,0,1.5,4800,6300.0,0.986550246148292,749.7781870727019,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.7892156635248745,0.7710078687316553,0.6932166041241185,1500,500,500,500,1|1|1,True,True,-
dlinear,6.089273520932016e-06,32.87235212002085,1.3456254907220224,0.0,749.7732462705233,2.05552295933513,1.6707382470011862,20.832432852790557,5.444002174091826,8.363142863981475,11.967690835169057,18.175680000030145,2.7289812848216517,0.6905611795002052,0.897698425673797,8.388608,0.7299254239316734,0.9567107098302823,8.388608,0.6350363559031569,0.8012435922381629,8.370258459759542,8.388608,0.7299254239316734,0.09488906802851649,2.485864441031907,4.545665276991094,2.7058240903082957,4.894073648603771,2.244568025501672,3.956101304914337,0.8501697461642855,0.4991420940873131,3.1335097247631754,0.8386163567702829,0.5169776646866784,0.8570827379198185,0.5114375965329658,0.8547872092461917,0.46672897234244815,0.8501621013120978,0.8570827379198185,0.4983814111873641,3.0956402906453278,3.142302598383326,3.162586285260872,0.14908548610240924,5.25999194975162,0,1.5,4800,6300.0,0.986550246148292,749.7781870727019,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.7892156635248745,0.7710078687316553,0.6932166041241185,1500,500,500,500,1|1|1,True,True,-
linearp,8.78949712700469e-06,47.465576161617655,1.3119523860941162,0.0,750.0291618656738,2.134361591566623,1.7688814917518856,20.717251221808144,5.668088003213152,8.827313721682644,24.653168931236607,13.496479678737805,9.31592755164324,0.7136593152778182,0.9431529346967545,8.388608,0.7264304002416545,0.9512787889734426,8.388608,0.6942718760469861,0.8768402677447386,8.388608,8.388608,0.7264304002416545,0.03215852419466828,2.633564655514413,4.82093957422633,2.6678143320440375,4.747786266988812,2.4937227613945,4.361964682493936,0.8405232386415016,0.5248075979059359,3.202773501586099,0.8404161554342385,0.5088518469086941,0.8405023472811904,0.5295674904722206,0.8406535216575762,0.5359885901420797,0.8405240081243351,0.8406535216575762,0.5248026425076647,3.202294306788623,3.228016025564858,3.178010172404815,0.16872280873864268,5.150616636088069,1,1.5,4800,6300.0,0.9868897530859235,750.0362123453019,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.770212824284552,0.8079950745460874,0.7874132890739779,1500,500,500,500,1|1|1,True,True,
dlinear,8.140482659124099e-06,43.960728818243396,1.3118883355213176,0.0,750.0296486500231,2.1378150962763556,1.7781288721823143,21.41569379926511,5.700978013536729,8.88624458999952,21.842206454805343,15.574927142462201,6.543595220975853,0.7096929265932211,0.931186599724031,8.388608,0.7377183805018738,0.9780328348432383,8.388608,0.690403789181343,0.8706853093333353,8.388608,8.388608,0.7377183805018738,0.047314591320530744,2.59604383388789,4.718630551733019,2.7470131105530107,4.9188908487802605,2.4556182507354682,4.305901711159538,0.8433908941587343,0.49954906831619816,3.18397968932816,0.8426200449548148,0.5043885740092037,0.843476725500731,0.4903212884728831,0.844087961683119,0.5042624243923576,0.8433949107128882,0.844087961683119,0.49965742895814813,3.193128100261509,3.214702426823176,3.144108540899794,0.16642325383142245,5.148317081180848,1,1.5,4800,6300.0,0.9868897530859235,750.0362123453019,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.770212824284552,0.8079950745460874,0.7874132890739779,1500,500,500,500,1|1|1,True,True,
linearp,1.8355573524975066e-06,9.885289014221033,1.582045302303671,0.0,747.9764557024926,1.6409480988046095,1.2533187445198157,16.99053521708788,4.106726851393425,6.765737814540115,2.9810344490949605,0.9168414380411897,5.987413127084883,0.5576197789569627,0.7076736793039929,8.36950913463021,0.5269719547640414,0.6508889000564173,8.169135042757507,0.5563563650834783,0.6936457695461352,8.388608,8.388608,0.5576197789569627,0.03064782419292128,1.9099515641013445,3.625652391410402,1.7046080219480713,3.3271692911823085,1.8593049245542588,3.5452234750744567,0.8422006960416586,0.5139973107785808,3.1176226666337334,0.8473045773705681,0.4897871604164666,0.8404944789223132,0.5531139876844758,0.8387835573264331,0.4972775118188833,0.8421942045397715,0.8473045773705681,0.5133928866399419,3.1068101852737544,3.0978906724642608,3.1481671421631843,0.08207633756354224,6.0929973085686635,2,1.5,4800,6300.0,0.984181786918408,747.9781580579901,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.7684292014818546,0.786352724320273,0.8070050880633906,1500,500,500,500,1|1|1,True,True,
dlinear,2.0390482750017468e-06,10.981177725073831,1.5820615718795623,0.0,747.9763320537307,1.650824483562621,1.2734884413361571,16.99053521708788,4.154550788964373,6.809273892590093,3.5422571679328216,0.6915074300561305,6.747413127084879,0.5838622699609359,0.7489506024250008,8.388608,0.5316084591204242,0.6608017111654542,8.174201187423463,0.5353537544811693,0.6733160872024729,8.388608,8.388608,0.5838622699609359,0.05225381084051169,2.0355923832591296,3.808182250757314,1.737767152233571,3.348525281728442,1.7486468006581606,3.4692738686006273,0.8481822178809003,0.4949128143435286,3.1520679478740963,0.8487696844639295,0.4919973633107155,0.8480496901133293,0.5256999599662149,0.8477267536773895,0.4659398787481777,0.8481820427515494,0.8487696844639295,0.4945457340083694,3.1507525982282467,3.135471502549601,3.169979742844442,0.08618251628767891,6.097103487292802,2,1.5,4800,6300.0,0.984181786918408,747.9781580579901,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.7684292014818546,0.786352724320273,0.8070050880633906,1500,500,500,500,1|1|1,True,True,
linearp,2.7062510354489578e-05,146.430529391541,1.120649139823514,0.0,751.483066537331,2.6979063049769496,2.4309833355915775,22.038082039932714,7.563618718187411,12.423447677206543,57.17312207154429,42.71899899018113,46.53840832981559,0.8765047869283351,1.1557629600773751,8.388608,0.9186521096500699,1.1911330883667162,8.388608,0.9027494083983264,1.1792623290731166,8.388608,8.388608,0.9186521096500699,0.042147322721734874,3.31337892007984,5.738727879399794,3.5058813163617697,5.832962652382508,3.3742781310758585,5.837546555802349,0.8458586251585654,0.4962634553821807,3.1709486762515726,0.8377772157233493,0.5059918709747684,0.8589200189705942,0.49714620484920313,0.8414172100392423,0.4856998610633424,0.8460381482443952,0.8589200189705942,0.4962793122957712,3.1946066561580935,3.168748105222964,3.149491267373661,0.2548985651388725,4.503106506637544,3,1.5,4800,6300.0,0.9888205054171084,751.5035841170023,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.7577777340267072,0.8048710049597505,0.808179274728891,1500,500,500,500,1|1|1,True,True,
dlinear,2.799957696255047e-05,151.5008335760428,1.120741423748561,0.0,751.4823651794934,2.706036140903493,2.443489814560644,22.784411157122264,7.60627660942336,12.416417025001543,62.219333048240294,35.32590141610291,53.955599111699605,0.9069794548376853,1.1929163291028664,8.388608,0.8375229716173301,1.1061112197227756,8.388608,0.9615337144481383,1.2451976457391885,8.388608,8.388608,0.9615337144481383,0.12401074283080815,3.443520438333118,5.8948552343895715,3.1811119248504798,5.487364434036654,3.609615787332055,6.119011964555243,0.8504154355225577,0.48760188166619245,3.183978190996043,0.8402158562180937,0.49993650121690886,0.8590261771112229,0.48400828997288725,0.8523835869609602,0.4789415296805745,0.8505418734300921,0.8590261771112229,0.48762877362345686,3.2056979893484794,3.163587100860557,3.1826494827790928,0.2577199902850772,4.5059279317837495,3,1.5,4800,6300.0,0.9888205054171084,751.5035841170023,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.7577777340267072,0.8048710049597505,0.808179274728891,1500,500,500,500,1|1|1,True,True,
linearp,3.513555656632486e-06,18.950283282274224,1.435354311431977,0.0,749.0913072331028,1.8855268808515726,1.5380368017011425,17.72973515019197,4.920807274412317,7.886134963316533,5.167793168982477,4.899984243052685,8.882505870239061,0.6327607370970257,0.8252285638680259,8.388608,0.6066936213625753,0.7823905317341421,8.207266442123315,0.6460725223918542,0.8353546611507956,8.388608,8.388608,0.6460725223918542,0.03937890102927887,2.2202873161911842,4.259528193892403,2.1105080451675953,3.975914946926909,2.2852242436404793,4.246083213025382,0.8444153864837312,0.5165757193271284,3.1177581037781485,0.8463388211573716,0.5060983934590704,0.8330606813386912,0.49469066608122475,0.8539354485539495,0.5441378639098621,0.8444449836833373,0.8539354485539495,0.5149756411500523,3.1061966507865195,3.1073971794170707,3.139680481130855,0.1199983634397061,5.572951664941025,4,1.5,4800,6300.0,0.9856501228907862,749.0940933969976,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.8061729245242643,0.7556567429496907,0.8169018861589105,1500,500,500,500,1|1|1,True,True,
dlinear,4.171085355295503e-06,22.496654899485215,1.4354191208548917,0.0,749.0908146814857,1.8843558961229345,1.5512192203418544,19.224738259027475,4.898593992156776,7.9860357838257805,6.860316415140124,8.029780812696977,7.606557671648115,0.6367996823540202,0.8399597619239176,8.388608,0.647041515140292,0.8331232955756674,8.196572106606402,0.6005146986287632,0.7785939985223015,8.388608,8.388608,0.647041515140292,0.0465268165115288,2.2432685529474345,4.340635733924731,2.2888228276753075,4.2099722908777535,2.0774565510788006,3.957567293030424,0.848263463371067,0.5081806442502234,3.132435102460993,0.8481181221738122,0.4948144704701167,0.8374141557012332,0.4882709322234853,0.859325103573118,0.5366167871103161,0.8482857938160544,0.859325103573118,0.506567396601306,3.1085589305964403,3.112685680730515,3.176060696056023,0.11906985039660385,5.572023151897922,4,1.5,4800,6300.0,0.9856501228907862,749.0940933969976,760.0,1.0,2.0,1.44,1.44,0.78,1.44,0.78,1.44,0.78,0.8061729245242643,0.7556567429496907,0.8169018861589105,1500,500,500,500,1|1|1,True,True,
