pooled over R = 10 replicates (3 test + 3 train seeds each)
alpha = 1.04   H = 0.980|0.980|0.980
test 2h/replicate   900|450|150 sources/cell   fixed split 6|3|1   beam 760 Mb/s   buffer 1 MiB
mean +/- SE of the mean; SE = sd/sqrt(R)

========================================================================
sample_dt = 1.5s   decisions/replicate = 4800
  metric                             linearp           dlinear
  loss_ratio               6.540e-04+/-4e-04 6.662e-04+/-4e-04
  backlog_mean_Mb          3.053e+00+/-8e-01 3.076e+00+/-8e-01
  backlog_sd_Mb            2.824e+00+/-6e-01 2.815e+00+/-6e-01
  backlog_p95_Mb           8.384e+00+/-2e+00 8.455e+00+/-2e+00
  backlog_p99_Mb           1.334e+01+/-2e+00 1.326e+01+/-2e+00
  backlog_max_Mb           2.079e+01+/-1e+00 2.073e+01+/-1e+00
  backlog_max_cell_Mb      8.354e+00+/-3e-02 8.364e+00+/-2e-02
  backlog_mean_cell_max_Mb 1.206e+00+/-4e-01 1.256e+00+/-4e-01
  backlog_imbalance_Mb     4.306e-01+/-2e-01 5.177e-01+/-2e-01
  waste_avoidable_pct      2.182e+00+/-3e-01 2.183e+00+/-3e-01
  served_Mbps              7.434e+02+/-2e+00 7.434e+02+/-2e+00
  forecast_mase            9.207e-01+/-2e-03 9.792e-01+/-1e-02
  forecast_mase_eq         9.208e-01+/-2e-03 9.761e-01+/-1e-02
  forecast_mase_worst      9.258e-01+/-2e-03 1.055e+00+/-3e-02
  forecast_sd_ratio        8.395e-01+/-3e-03 8.164e-01+/-5e-03
  forecast_sd_ratio_eq     8.344e-01+/-4e-03 8.124e-01+/-4e-03
  slot_err                 3.551e+00+/-5e-02 3.727e+00+/-7e-02
  deficit_Mb_per_period    4.556e-01+/-2e-01 4.587e-01+/-2e-01
  surplus_Mb_per_period    8.500e+00+/-1e+00 8.503e+00+/-1e+00
  backlog_max_c0_Mb        8.266e+00+/-2e-02 8.272e+00+/-2e-02
  backlog_max_c1_Mb        8.339e+00+/-4e-02 8.083e+00+/-3e-01
  backlog_max_c2_Mb        7.755e+00+/-3e-01 7.610e+00+/-3e-01
  backlog_mean_c0_Mb       1.160e+00+/-4e-01 1.164e+00+/-4e-01
  backlog_mean_c1_Mb       1.084e+00+/-3e-01 1.130e+00+/-3e-01
  backlog_mean_c2_Mb       8.087e-01+/-1e-01 7.828e-01+/-1e-01
  backlog_p95_c0_Mb        3.529e+00+/-1e+00 3.611e+00+/-1e+00
  backlog_p95_c1_Mb        3.505e+00+/-9e-01 3.569e+00+/-8e-01
  backlog_p95_c2_Mb        2.537e+00+/-5e-01 2.400e+00+/-5e-01
  backlog_p99_c0_Mb        5.970e+00+/-8e-01 5.767e+00+/-8e-01
  backlog_p99_c1_Mb        5.775e+00+/-7e-01 6.005e+00+/-7e-01
  backlog_p99_c2_Mb        4.130e+00+/-5e-01 3.984e+00+/-5e-01
  backlog_sd_c0_Mb         1.461e+00+/-3e-01 1.470e+00+/-3e-01
  backlog_sd_c1_Mb         1.297e+00+/-3e-01 1.312e+00+/-3e-01
  backlog_sd_c2_Mb         8.482e-01+/-1e-01 8.114e-01+/-1e-01
  forecast_mase_c0         9.208e-01+/-1e-03 9.700e-01+/-3e-02
  forecast_mase_c1         9.202e-01+/-2e-03 1.011e+00+/-4e-02
  forecast_mase_c2         9.215e-01+/-3e-03 9.475e-01+/-1e-02
  forecast_sd_ratio_c0     8.388e-01+/-4e-03 8.163e-01+/-7e-03
  forecast_sd_ratio_c1     8.430e-01+/-6e-03 8.163e-01+/-7e-03
  forecast_sd_ratio_c2     8.215e-01+/-7e-03 8.046e-01+/-8e-03
  slot_err_c0              4.175e+00+/-6e-02 4.415e+00+/-1e-01
  slot_err_c1              3.853e+00+/-3e-02 4.083e+00+/-9e-02
  slot_err_c2              2.624e+00+/-8e-02 2.682e+00+/-9e-02

  PAIRED (same seeds; negative = first policy better).  t-interval at 95%
    dmax_cell[linearp-dlinear] = -0.0102 +/- 0.0180 Mb   linearp better in 3/10
    dimbalance[linearp-dlinear] = -0.0871 +/- 0.1536 Mb   linearp better in 8/10
    dmax[linearp-dlinear] = +0.0528 +/- 0.4258 Mb   linearp better in 4/10
    dmean[linearp-dlinear] = -0.0230 +/- 0.1168 Mb   linearp better in 7/10
  * dmase[linearp-dlinear] = -0.0585 +/- 0.0306    linearp better in 10/10
  * dmase_eq[linearp-dlinear] = -0.0553 +/- 0.0284    linearp better in 10/10
  * dmase_worst[linearp-dlinear] = -0.1292 +/- 0.0749    linearp better in 10/10
  * dsd_ratio[linearp-dlinear] = +0.0230 +/- 0.0074    linearp better in 0/10
  * dsd_ratio_eq[linearp-dlinear] = +0.0220 +/- 0.0061    linearp better in 0/10
    loss[linearp]/loss[dlinear] = 0.884 (x/ 1.097)   linearp better in 5/10

