policy,loss_ratio,dropped_Mb,waste_avoidable_pct,waste_unavoidable_pct,served_Mbps,backlog_mean_Mb,backlog_sd_Mb,backlog_max_Mb,backlog_p95_Mb,backlog_p99_Mb,drop_c0_Mb,drop_c1_Mb,drop_c2_Mb,backlog_mean_c0_Mb,backlog_sd_c0_Mb,backlog_max_c0_Mb,backlog_mean_c1_Mb,backlog_sd_c1_Mb,backlog_max_c1_Mb,backlog_mean_c2_Mb,backlog_sd_c2_Mb,backlog_max_c2_Mb,backlog_max_cell_Mb,backlog_mean_cell_max_Mb,backlog_imbalance_Mb,backlog_p95_c0_Mb,backlog_p99_c0_Mb,backlog_p95_c1_Mb,backlog_p99_c1_Mb,backlog_p95_c2_Mb,backlog_p99_c2_Mb,forecast_mase,forecast_sd_ratio,slot_err,forecast_mase_c0,forecast_sd_ratio_c0,forecast_mase_c1,forecast_sd_ratio_c1,forecast_mase_c2,forecast_sd_ratio_c2,forecast_mase_eq,forecast_mase_worst,forecast_sd_ratio_eq,slot_err_c0,slot_err_c1,slot_err_c2,deficit_Mb_per_period,surplus_Mb_per_period,replicate,sample_dt,n_decisions,train_seconds,rho,offered_Mbps,beam_Mbps,buffer_MiB,test_hours,alpha,alpha_c0,H_nominal_c0,alpha_c1,H_nominal_c1,alpha_c2,H_nominal_c2,H_meas_c0,H_meas_c1,H_meas_c2,n_sources,n_sources_c0,n_sources_c1,n_sources_c2,fixed_weights,adaptive_mean,backlog_aware,_rel_fixed
linearp,1.845659957706782e-05,98.2576011971916,2.7117756221816074,0.0,739.3905052714123,1.569119905867751,1.2810420870131634,19.465513508116015,3.774531854956946,7.348094053813589,57.24419933659412,41.01340186059749,0.0,0.4336705506486522,0.6445034733971401,8.184178010249287,0.6404930392202829,0.8607273801977859,8.388608,0.49495631599888157,0.43337798449945464,6.227739079716298,8.388608,0.6404930392202829,0.20682248857163074,0.829665704519075,3.590018180215926,2.20175138917403,4.6669784576142375,1.2410951634653355,2.2524790836410093,0.8923513139987399,0.8014697636797184,3.5056381692738547,0.92039727863328,0.8546759970761507,0.8824285349961517,0.6817974939322603,0.8360010453598543,0.5038829908482405,0.8796089529964286,0.92039727863328,0.6801188272855505,4.256824600371354,4.176947184783495,2.0831427226667145,0.07085240000056718,10.368703361709379,0,1.5,4800,6300.0,0.9729003922060278,739.4042980765811,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9669874717950928,0.8686210930783284,0.7311550490375871,1500,900,450,150,6|3|1,True,True,-
dlinear,1.87820660977882e-05,99.9902908761569,2.711806992105355,0.0,739.3902668600067,1.6015884553926725,1.2989098763881193,19.83447239404495,3.8638630001822443,7.380891697227589,54.65273864142706,45.337552234729856,0.0,0.42137117055198775,0.6107491784123199,8.17905783412958,0.6470915295698307,0.875174464164768,8.388608,0.5331257552706066,0.4861417783876233,6.7258655011572515,8.388608,0.6470915295698307,0.225720359017843,0.7895889090576586,3.205438006580295,2.221110790657502,4.75744931941436,1.4154158277342126,2.538478699974302,0.9369011158693263,0.7661135709097238,3.487403847556297,1.0004793479564664,0.81687470904471,0.9030945343318095,0.6514273576713664,0.836974532465112,0.48941383743536415,0.9135161382511293,1.0004793479564664,0.6525719680504802,4.217466278443719,4.179145006772188,2.065600257452983,0.07560193064863026,10.37345289235744,0,1.5,4800,6300.0,0.9729003922060278,739.4042980765811,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9669874717950928,0.8686210930783284,0.7311550490375871,1500,900,450,150,6|3|1,True,True,-
linearp,0.00041702544052650076,2245.1752504249203,1.6531690094870841,0.0,747.4359155278978,3.3799913964688084,3.658393158617881,22.21154121813705,12.130543509537235,16.54953011022753,1567.2680456614517,677.9072047634684,0.0,1.243516844480069,1.98005506025863,8.27430670182326,1.3631495789577202,1.8339942004153633,8.388608,0.7733249730306639,0.805406962746241,8.215153155868926,8.388608,1.3631495789577202,0.5898246059270563,6.962478901900828,7.732028668706973,6.040422231471166,7.790970872559381,2.4679482059000826,4.035198091266107,0.89416663742879,0.8057103934082602,3.6197281560373535,0.9204627511985959,0.8564645844641451,0.8858669074115488,0.6741721883442273,0.8397221276786432,0.5089143874419472,0.8820172620962626,0.9204627511985959,0.6798503867501066,4.360417311785652,4.279287985649814,2.219479170676595,0.43065565354558716,6.556707461486479,1,1.5,4800,6300.0,0.9838788110317364,747.7478963841196,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998966472230909,0.8653600348734313,0.7756684047526244,1500,900,450,150,6|3|1,True,True,
dlinear,0.0004124484087503302,2220.533496072254,1.6527186850288214,0.0,747.4393379937676,3.4420172602377197,3.692943279195765,22.80221347054432,12.21949833701475,16.674263914158043,1437.484204142668,783.0492919295856,0.0,1.1911632496762785,1.9284180228848278,8.272391832494831,1.43774553915222,1.9010956593791803,8.388608,0.813108471409216,0.8424744124402468,7.689599938570998,8.388608,1.43774553915222,0.6246370677430041,6.834227863036267,7.702828772985809,6.286111189839696,7.802113519552192,2.6037383788538393,4.188321969620014,0.9011880115470567,0.7831490065213115,3.6071323301368268,0.9265560961251491,0.8382902828056833,0.8945655396084297,0.6331854396880735,0.8452891199034679,0.5063718489244851,0.8888035852123489,0.9265560961251491,0.6592825238060805,4.3440126233466625,4.279443143255028,2.197941223808791,0.43663318221815806,6.56268499015905,1,1.5,4800,6300.0,0.9838788110317364,747.7478963841196,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998966472230909,0.8653600348734313,0.7756684047526244,1500,900,450,150,6|3|1,True,True,
linearp,0.00104279727809132,5657.665103535637,0.9537966607080929,0.0,752.7511453786207,5.376589545129975,4.745951504317816,22.427752920080543,15.784939336617885,18.474330830315214,4328.748922200039,1328.7723160597125,0.14386527588568254,2.209969471529031,2.6292155949162335,8.286281880297107,2.115875469182365,2.3095900434479324,8.388608,1.050744604419443,1.01903990874685,8.360687710650444,8.388608,2.209969471529031,1.1592248671095882,7.525944578308364,7.862192157483905,7.356988281639989,7.961628487778099,3.250631504419043,4.717244537197459,0.8920497569557282,0.7729785778985567,3.7204396745463124,0.9208079761716086,0.8216548139039411,0.8817030705382156,0.7029581570398784,0.8375242897631345,0.5063536916568758,0.8800117788243197,0.9208079761716086,0.6769888875335651,4.491776504021857,4.395799348287754,2.2737431713293255,0.8819787382637708,4.113245042559912,2,1.5,4800,6300.0,0.9914966676202737,753.537467391408,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9101955611003173,0.9447530338122658,0.7697003377108584,1500,900,450,150,6|3|1,True,True,
dlinear,0.0010524613108855011,5710.097021270538,0.9547660270864123,0.0,752.7437781941526,5.495702471359449,4.777592499433157,22.450105686041315,15.843289178234857,18.474579318944095,3896.764004594678,1813.3330166758603,0.0,2.08848959496323,2.5741084319699925,8.295821559486203,2.4247156902129183,2.458402552572738,8.388608,0.982497186183516,0.9645310346620549,8.152422494568372,8.388608,2.4247156902129183,1.4422185040294024,7.502743740437551,7.845515205029087,7.542980161028796,8.015500068757092,3.070510864943102,4.563194466099082,0.9037566537232201,0.7372346346437347,3.712980686356444,0.9329560477116295,0.7743104838417207,0.8950957532957021,0.687943842087226,0.843835947198082,0.5018037882007044,0.8906292494018045,0.9329560477116295,0.654686038043217,4.42611139726796,4.403523424526863,2.3093072372745107,0.8923494236300941,4.123615727926236,2,1.5,4800,6300.0,0.9914966676202737,753.537467391408,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9101955611003173,0.9447530338122658,0.7697003377108584,1500,900,450,150,6|3|1,True,True,
linearp,0.0006814662672715189,3683.9552717201495,1.2748605751771682,0.0,750.3110596286558,4.082268449778715,4.152654031617036,23.477602441773872,13.961700286976109,18.01998507944737,2803.172519349654,880.6645463255036,0.118206044991903,1.580959016025355,2.277836281441151,8.293598077439757,1.6220859941834633,2.0018833116406176,8.388608,0.879223439569269,0.9122723724973559,8.35009911268895,8.388608,1.6220859941834633,0.7428625546141944,7.335689098766395,7.804377287343364,6.6697079211937425,7.8752423933375795,2.8357250264367724,4.438249001286687,0.8901698219877059,0.7854473078276508,3.6784027857169956,0.9222150909423679,0.826690171201768,0.8719241030792252,0.7123792456631654,0.84450864244279,0.5086336339248732,0.879549278821461,0.9222150909423679,0.6825676835966021,4.428653534813591,4.39057197594056,2.215982846396835,0.6088583154734929,5.197426393687902,3,1.5,4800,6300.0,0.987924820846804,750.8228638435711,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9622572495351338,0.9046653485856091,0.769352328238635,1500,900,450,150,6|3|1,True,True,
dlinear,0.0007285516656535676,3938.4953860608043,1.2795122585532868,0.0,750.275706835001,3.977806690747292,4.059347246612833,22.92145329184386,13.422012926231625,17.58801777750706,3282.4104154464776,656.0462256271949,0.03874498713228479,1.7300510795261008,2.3821875479159194,8.275986357725047,1.4287445321116352,1.853378333148183,8.388608,0.8190110791098328,0.8507827597870454,8.344563942948247,8.388608,1.7300510795261008,0.9110400004162679,7.406787811033334,7.814370911210005,6.107739610592073,7.8118674478746515,2.6400774321623897,4.159614233270943,0.9206918090412869,0.7690906623604483,3.7778850171069625,0.987328557750216,0.8068440378687316,0.873857700902579,0.7026081353783904,0.8477128863527411,0.519756577880194,0.9029663816685121,0.987328557750216,0.6764029170424387,4.640262771448701,4.430228135712494,2.2631641441596915,0.6006488634692873,5.189216941683697,3,1.5,4800,6300.0,0.987924820846804,750.8228638435711,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9622572495351338,0.9046653485856091,0.769352328238635,1500,900,450,150,6|3|1,True,True,
linearp,1.5358231341553795e-06,8.115424533567829,3.434229172070287,0.0,733.8998582922546,1.2633656321223896,0.7326190889021023,12.889347999784803,2.3413920228965375,4.737075229479326,4.5692670285547115,3.5461575050131176,0.0,0.3442110500865467,0.35232645440500027,8.113114743854979,0.4848933434542959,0.5776899991859373,8.321098374809338,0.4342612385813959,0.337199058074616,5.433668855825667,8.321098374809338,0.4848933434542959,0.1406822933677492,0.6841543980752461,1.2078583588921064,1.1893528206211474,3.183581363621245,0.9554484388122383,1.7027838133169313,0.8905618311592491,0.7955671580768982,3.5617929322187916,0.9197105660672728,0.8434628376843941,0.8760346643766921,0.69871216541475,0.8447081202342788,0.5017908710662793,0.8801511168927479,0.9197105660672728,0.6813219580551412,4.330314436553906,4.223844829601319,2.1312195305011503,0.026014139249399253,13.075461285141648,4,1.5,4800,6300.0,0.9656593496160751,733.9011057082172,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998956268617111,0.9045610643113262,0.7884231618646124,1500,900,450,150,6|3|1,True,True,
dlinear,1.6768492386073604e-06,8.860618874303237,3.434242790387689,0.0,733.899754793022,1.2842879527252387,0.7790665674292808,14.133173547141812,2.4723414390925025,4.968070386345067,3.2628446758400482,5.597774198463188,0.0,0.3391419829486207,0.33962846734562563,8.113114743854979,0.5117475862165878,0.6351569669550224,8.356738954929266,0.43339838355998445,0.33582973224939194,5.433668855825667,8.356738954929266,0.5117475862165878,0.17260560326796706,0.6779557325732217,1.085558269624894,1.37156665601931,3.50159812866276,0.9507417435202882,1.6756461967923995,0.9139699877111769,0.7817470075451752,3.561587082420699,0.9676117093802197,0.8305674326691254,0.8783382438095376,0.682635130552277,0.8513873045047692,0.4786981554040728,0.8991124192315089,0.9676117093802197,0.6639669062084917,4.305507584362088,4.25489251182328,2.124361151076728,0.028642310968287614,13.078089456860534,4,1.5,4800,6300.0,0.9656593496160751,733.9011057082172,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998956268617111,0.9045610643113262,0.7884231618646124,1500,900,450,150,6|3|1,True,True,
