policy,loss_ratio,dropped_Mb,waste_avoidable_pct,waste_unavoidable_pct,served_Mbps,backlog_mean_Mb,backlog_sd_Mb,backlog_max_Mb,backlog_p95_Mb,backlog_p99_Mb,drop_c0_Mb,drop_c1_Mb,drop_c2_Mb,backlog_mean_c0_Mb,backlog_sd_c0_Mb,backlog_max_c0_Mb,backlog_mean_c1_Mb,backlog_sd_c1_Mb,backlog_max_c1_Mb,backlog_mean_c2_Mb,backlog_sd_c2_Mb,backlog_max_c2_Mb,backlog_max_cell_Mb,backlog_mean_cell_max_Mb,backlog_imbalance_Mb,backlog_p95_c0_Mb,backlog_p99_c0_Mb,backlog_p95_c1_Mb,backlog_p99_c1_Mb,backlog_p95_c2_Mb,backlog_p99_c2_Mb,forecast_mase,forecast_sd_ratio,slot_err,forecast_mase_c0,forecast_sd_ratio_c0,forecast_mase_c1,forecast_sd_ratio_c1,forecast_mase_c2,forecast_sd_ratio_c2,forecast_mase_eq,forecast_mase_worst,forecast_sd_ratio_eq,slot_err_c0,slot_err_c1,slot_err_c2,deficit_Mb_per_period,surplus_Mb_per_period,replicate,sample_dt,n_decisions,train_seconds,rho,offered_Mbps,beam_Mbps,buffer_MiB,test_hours,alpha,alpha_c0,H_nominal_c0,alpha_c1,H_nominal_c1,alpha_c2,H_nominal_c2,H_meas_c0,H_meas_c1,H_meas_c2,n_sources,n_sources_c0,n_sources_c1,n_sources_c2,fixed_weights,adaptive_mean,backlog_aware,_rel_fixed
linearp,0.0,0.0,6.971813578727542,0.0,734.9226727280757,0.8603046117166157,0.1241019125761253,1.9085432444938724,1.0874105629211472,1.2494623641782705,0.0,0.0,0.0,0.27607645075987336,0.21687826354274223,1.201787430963588,0.2753563990066731,0.21940879210314082,1.1977718393902343,0.30887176195004107,0.23505959149248817,1.2953744628561947,1.2953744628561947,0.30887176195004107,0.033515362943367974,0.5203772948792722,0.7314302789064836,0.5352327055756388,0.7222887468875294,0.6390050654929208,0.850543145741241,0.9377746932693792,0.9184937471940181,0.5372399593846029,0.9374065045707137,0.922128217643824,0.936920538258807,0.9160158844955865,0.9390691975473151,0.9175329793024586,0.9377987467922786,0.9390691975473151,0.9185590271472898,0.5970001379805913,0.4091790575693477,0.6055406826038698,0.12027255177621839,0.3956586136427823,0,0.015,480000,63.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9838885889599275,0.9919770305392819,0.9950496382653822,1500,500,500,500,1|1|1,True,True,-
dlinear,0.0,0.0,6.971813578728062,0.0,734.9226727280594,0.8597139010406245,0.12359135163233212,1.8801174376685166,1.0826830283653173,1.2476061813758468,0.0,0.0,0.0,0.27650005347357626,0.21707227562736991,1.2297904634999952,0.27467947668892156,0.21904481437984755,1.1577992079417856,0.30853437087817387,0.2348060886830477,1.3616730203247616,1.3616730203247616,0.30853437087817387,0.033854894189252284,0.5208278817965288,0.7364419150881167,0.5295369615572945,0.7157538126367037,0.6290275259571034,0.8498134763900355,0.9427863626929743,0.8715775471712756,0.5404037430641121,0.9453228374044211,0.8568701265807024,0.9389144783627044,0.8821912847262589,0.9442283934777547,0.8746098699257837,0.9428219030816267,0.9453228374044211,0.8712237604109151,0.6040139001376554,0.4054112450982371,0.6117860839564437,0.12112332193156244,0.3965093837981262,0,0.015,480000,63.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9838885889599275,0.9919770305392819,0.9950496382653822,1500,500,500,500,1|1|1,True,True,-
linearp,0.0,0.0,6.971811712542926,0.0,734.9226874709105,0.7743892575912278,0.09845211606934046,1.5108474284199547,1.2151139467889218,1.2391310688256272,0.0,0.0,0.0,0.26543092741258484,0.21374497154856756,1.0377279472892897,0.2506748673050572,0.2057017043869775,1.2289082068875767,0.25828346287351606,0.2096460402706663,1.1780806596307383,1.2289082068875767,0.26543092741258484,0.014756060107527592,0.7270640465882127,0.7450048966218505,0.5180540274924641,0.7319717747251541,0.721590593146659,0.7437187452230346,0.9262514642047585,0.886087314426294,0.5807971280752803,0.9262117879985731,0.877180575398915,0.9262437410309121,0.8843825449326917,0.9263013148954119,0.8962406475508399,0.9262522813082991,0.9263013148954119,0.8859345892941488,0.5831643906185854,0.5822860758499089,0.5769409177573467,1.2074039832101876e-05,2.7538726927054693,0,0.15,48000,630.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9802446539925836,0.9835564420295365,0.9894200618402751,1500,500,500,500,1|1|1,True,True,-
dlinear,0.0,0.0,6.971811717775838,0.0,734.9226874295534,0.7739006942956117,0.09791053203667724,1.4863690839094368,1.2144576091439594,1.2383793616668455,0.0,0.0,0.0,0.26553762046481194,0.2138124801486515,1.0383566515560978,0.25034856187234494,0.20546488509399716,1.2325073629477639,0.2580145119584774,0.20945546008387766,1.1069028065685154,1.2325073629477639,0.26553762046481194,0.015189058592466958,0.7270640465882127,0.7449494925678657,0.5178058627328888,0.7302920781649233,0.7209500759324521,0.7433497358428266,0.9282146871446803,0.8656570227078109,0.5860950777542697,0.9279243908688748,0.8498806596732055,0.9280994989864827,0.8558095470878488,0.9286414923627513,0.890350025153576,0.9282217940727029,0.9286414923627513,0.8653467439715433,0.5886821601496431,0.5879450143393068,0.5816580587738593,7.673541756402339e-06,2.753868292207393,0,0.15,48000,630.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9802446539925836,0.9835564420295365,0.9894200618402751,1500,500,500,500,1|1|1,True,True,-
linearp,0.0,0.0,6.971811717776222,0.0,734.9226874295707,0.7740066484736918,0.0859076979335393,1.5206847571389,1.2026091668939602,1.2369373234543986,0.0,0.0,0.0,0.26803158890904444,0.21279745135961683,1.0443472809508443,0.24968908178009322,0.20515538264366168,1.0469042914826705,0.2562859777845327,0.20738045944486444,1.0379968874683518,1.0469042914826705,0.26803158890904444,0.018342507128951226,0.717662517032183,0.7453411470851203,0.5162358207757898,0.7297291321729056,0.6203535169214415,0.742703620035333,0.9208189519192197,0.8520831127895419,3.866724295015643,0.9164340122861035,0.8414758787235301,0.9230095697835423,0.8489231646630624,0.923080333139504,0.8648228047658383,0.9208413050697167,0.923080333139504,0.8517406160508103,3.8573217941095255,3.935134130891047,3.807716960046356,0.0,27.53860618665637,0,1.5,4800,6300.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998934343293712,0.9574547274403035,0.9998945060206702,1500,500,500,500,1|1|1,True,True,-
dlinear,0.0,0.0,6.971811717776012,0.0,734.9226874295618,0.7727167998386208,0.08480435407238547,1.5206847571389,1.2023306709988402,1.2373927140239978,0.0,0.0,0.0,0.2671252135794089,0.21233426969306574,1.0866990927607536,0.2502017965139951,0.20541132637114065,1.0489588411684685,0.25538978974518534,0.20687892897069704,1.038445403952236,1.0866990927607536,0.2671252135794089,0.016923417065413757,0.7172248705589641,0.7442645244575994,0.5168862017414171,0.7335104272773871,0.6048574898272326,0.7433296210158,0.9245954816929383,0.839712362252176,3.909352497884011,0.9179878465840896,0.8343882196060827,0.927038291468509,0.8419663359249345,0.9289064780999314,0.8422809502889597,0.9246442053841767,0.9289064780999314,0.839545168606659,3.8737500902803745,4.000533324697525,3.853774078674133,0.0,27.53860618665637,0,1.5,4800,6300.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998934343293712,0.9574547274403035,0.9998945060206702,1500,500,500,500,1|1|1,True,True,-
linearp,0.0,0.0,6.9718117177752035,0.0,734.9226874295792,0.7725963324958517,0.08027188442957853,1.9653616384226034,0.9652438127641172,1.1972226040899325,0.0,0.0,0.0,0.26764324218287944,0.211498729656181,1.4920158858684418,0.24903592221237517,0.2046509260330399,1.3568564354528547,0.2559171681005294,0.20666293907172403,1.0302454665024536,1.4920158858684418,0.26764324218287944,0.018607319970504264,0.6014943390699361,0.7354177911856,0.5140104445582616,0.583623064377177,0.513261247188351,0.7193706423464089,0.9207558547011627,0.8216227606206543,36.39424852627926,0.9283476390564828,0.8102797274134925,0.9214339901816136,0.8213658647315116,0.9125472061262525,0.8315205036593151,0.9207762784547829,0.9283476390564828,0.8210553652681064,35.605955162839834,38.26663595173853,35.310154464259426,0.0,275.38606186656375,0,15.0,480,63000.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9545456754526729,0.9998955484169462,0.9998955484169462,1500,500,500,500,1|1|1,True,True,-
dlinear,0.0,0.0,6.971811717776171,0.0,734.9226874295824,0.7701806572113638,0.07838906929010228,1.8147550236096397,0.9636366258244441,1.1989776453556276,0.0,0.0,0.0,0.2660098263620921,0.21080490212801328,1.4618496219795074,0.2501560411903474,0.20515641410233088,1.396735994475557,0.2540147896589674,0.20571119838542032,1.0265429280526237,1.4618496219795074,0.2660098263620921,0.015853785171744704,0.6021411373626182,0.7341721769181196,0.514957326395717,0.6299742972577625,0.5106394661174477,0.7134506065291641,0.9308247081042881,0.7993518718789703,36.964720648110735,0.932523439353173,0.826331549175841,0.9362304581960746,0.7870772122015073,0.9232303621873297,0.7873944501057589,0.9306614199121924,0.9362304581960746,0.8002677371610357,35.71084091578253,39.37855460348454,35.80476642506514,0.0,275.38606186656375,0,15.0,480,63000.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9545456754526729,0.9998955484169462,0.9998955484169462,1500,500,500,500,1|1|1,True,True,-
linearp,0.0,0.0,6.971811717776066,0.0,734.9226874295704,0.7718897124733298,0.08157106745571913,2.711383729774372,0.954664000833271,1.10069600031472,0.0,0.0,0.0,0.26867236675976414,0.2122137539376593,1.9222718440203033,0.2482774504207005,0.20473387920095343,2.470478578945075,0.2549398952929426,0.20602900406571378,1.1923952342709265,2.470478578945075,0.26867236675976414,0.020394916339063637,0.6009765503032328,0.7361103364624069,0.5134182000802752,0.5422883119715793,0.5109652337097891,0.6936954210249721,0.9375903987201842,0.7651651005769474,145.44393897200504,0.9177898054771322,0.7572046816572209,0.9664035043125059,0.7646513205532078,0.9319598718191584,0.772291629523636,0.9387177272029321,0.9664035043125059,0.7647158772446883,138.87505909726704,158.93052092721354,138.52623689153452,0.0,1101.544247466255,0,60.0,120,252000.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998955484169462,0.9998955484169462,0.9998955484169462,1500,500,500,500,1|1|1,True,True,-
dlinear,0.0,0.0,6.97181171777549,0.0,734.9226874295624,0.769961028859557,0.07988257155017299,3.118465796281892,0.951302716599442,1.0880936394486271,0.0,0.0,0.0,0.2663117974496065,0.21086055180098578,1.7149471942414485,0.24893241611644124,0.20530923170868612,2.865748146353381,0.25471681529357604,0.20589360372964385,1.1941029801479397,2.865748146353381,0.2663117974496065,0.017379381333165248,0.5651096572971963,0.7284817662381429,0.5131789561880692,0.5487635753426794,0.5114832871417293,0.7132370704065497,0.9288460511979515,0.7611952612199406,142.96255071403408,0.9010562341091318,0.7494571094729603,0.9559591167876277,0.7601542625871228,0.9339422861509554,0.7719160495569092,0.9303192123492382,0.9559591167876277,0.7605091405389975,136.49859569731913,155.47868844409538,136.9103680006877,0.0,1101.544247466255,0,60.0,120,252000.0,0.9302820096540324,734.9227876266856,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998955484169462,0.9998955484169462,0.9998955484169462,1500,500,500,500,1|1|1,True,True,-
