pooled over R = 10 replicates (3 test + 3 train seeds each)
alpha = 1.04   H = 0.980|0.980|0.980
test 2h/replicate   500 sources/cell   fixed split 1|1|1   beam 790 Mb/s   buffer 1 MiB
mean +/- SE of the mean; SE = sd/sqrt(R)

========================================================================
sample_dt = 0.015s   decisions/replicate = 480000
  metric                             linearp           dlinear
  loss_ratio               6.529e-07+/-6e-07 6.868e-07+/-6e-07
  backlog_mean_Mb          1.018e+00+/-6e-02 1.020e+00+/-6e-02
  backlog_sd_Mb            3.752e-01+/-1e-01 3.753e-01+/-1e-01
  backlog_p95_Mb           1.368e+00+/-1e-01 1.372e+00+/-1e-01
  backlog_p99_Mb           2.222e+00+/-7e-01 2.229e+00+/-7e-01
  backlog_max_Mb           8.445e+00+/-3e+00 8.438e+00+/-3e+00
  backlog_max_cell_Mb      3.559e+00+/-9e-01 3.563e+00+/-9e-01
  backlog_mean_cell_max_Mb 3.693e-01+/-3e-02 3.720e-01+/-3e-02
  backlog_imbalance_Mb     5.381e-02+/-9e-03 5.843e-02+/-1e-02
  waste_avoidable_pct      4.970e+00+/-6e-01 4.970e+00+/-6e-01
  served_Mbps              7.507e+02+/-4e+00 7.507e+02+/-4e+00
  forecast_mase            9.380e-01+/-2e-04 1.000e+00+/-2e-02
  forecast_mase_eq         9.380e-01+/-2e-04 1.000e+00+/-2e-02
  forecast_mase_worst      9.386e-01+/-2e-04 1.091e+00+/-6e-02
  forecast_sd_ratio        9.172e-01+/-2e-03 8.704e-01+/-5e-03
  forecast_sd_ratio_eq     9.167e-01+/-2e-03 8.699e-01+/-5e-03
  slot_err                 5.139e-01+/-1e-02 5.164e-01+/-1e-02
  deficit_Mb_per_period    1.310e-01+/-8e-03 1.319e-01+/-8e-03
  surplus_Mb_per_period    3.272e-01+/-2e-02 3.282e-01+/-2e-02
  backlog_max_c0_Mb        3.407e+00+/-9e-01 3.417e+00+/-9e-01
  backlog_max_c1_Mb        3.455e+00+/-9e-01 3.414e+00+/-9e-01
  backlog_max_c2_Mb        3.544e+00+/-9e-01 3.551e+00+/-9e-01
  backlog_mean_c0_Mb       3.156e-01+/-2e-02 3.147e-01+/-2e-02
