DLinear vs LinearP  -  exp3_users_900-450-150 (beam 790 Mb/s, sample_dt=1.5s)
Mean over replicates: linearp n=10, dlinear n=10

metric                             linearp       dlinear     delta (d-l)
------------------------------------------------------------------------
loss ratio                       6.702e-08     6.967e-08       2.649e-09
backlog mean [Mb]                   1.0049        1.0037         -0.0012
backlog P95 [Mb]                    1.2531        1.2553          0.0023
mean c0 [Mb]                        0.2892        0.2891         -0.0000
mean c1 [Mb]                        0.3433        0.3451          0.0018
mean c2 [Mb]                        0.3725        0.3696         -0.0029
max c0 [Mb]                         2.3136        2.4803          0.1666
max c1 [Mb]                         3.2714        3.3061          0.0347
max c2 [Mb]                         3.6682        3.6284         -0.0397
mean of per-cell max [Mb]           0.3725        0.3696         -0.0029
P95 c0 [Mb]                         0.6408        0.6415          0.0006
P95 c1 [Mb]                         0.6932        0.6975          0.0043
P95 c2 [Mb]                         0.7614        0.7572         -0.0042
