policy,loss_ratio,dropped_Mb,waste_avoidable_pct,waste_unavoidable_pct,served_Mbps,backlog_mean_Mb,backlog_sd_Mb,backlog_max_Mb,backlog_p95_Mb,backlog_p99_Mb,drop_c0_Mb,drop_c1_Mb,drop_c2_Mb,backlog_mean_c0_Mb,backlog_sd_c0_Mb,backlog_max_c0_Mb,backlog_mean_c1_Mb,backlog_sd_c1_Mb,backlog_max_c1_Mb,backlog_mean_c2_Mb,backlog_sd_c2_Mb,backlog_max_c2_Mb,backlog_max_cell_Mb,backlog_mean_cell_max_Mb,backlog_imbalance_Mb,backlog_p95_c0_Mb,backlog_p99_c0_Mb,backlog_p95_c1_Mb,backlog_p99_c1_Mb,backlog_p95_c2_Mb,backlog_p99_c2_Mb,forecast_mase,forecast_sd_ratio,slot_err,forecast_mase_c0,forecast_sd_ratio_c0,forecast_mase_c1,forecast_sd_ratio_c1,forecast_mase_c2,forecast_sd_ratio_c2,forecast_mase_eq,forecast_mase_worst,forecast_sd_ratio_eq,slot_err_c0,slot_err_c1,slot_err_c2,deficit_Mb_per_period,surplus_Mb_per_period,replicate,sample_dt,n_decisions,train_seconds,rho,offered_Mbps,beam_Mbps,buffer_MiB,test_hours,alpha,alpha_c0,H_nominal_c0,alpha_c1,H_nominal_c1,alpha_c2,H_nominal_c2,H_meas_c0,H_meas_c1,H_meas_c2,n_sources,n_sources_c0,n_sources_c1,n_sources_c2,fixed_weights,adaptive_mean,backlog_aware,_rel_fixed
linearp,0.0,0.0,6.204615839443339,0.0,740.9835348684159,0.9642592269022083,0.11064288782905823,2.030735749878096,1.1450867190714196,1.2352879856013805,0.0,0.0,0.0,0.2820152593801024,0.22496288511118542,1.228311618275204,0.33069093747355793,0.23669523628400915,1.4891648968455802,0.3515530300485594,0.22021444666560558,1.5445408066794073,1.5445408066794073,0.3515530300485594,0.06953777066845702,0.6270256118975019,0.6955043510793228,0.6778189767323141,0.8608589952239571,0.7125234717173151,0.8103117363570638,0.922328234942066,0.849762436390102,3.293400499188474,0.92039727863328,0.8546759970761507,0.9218792330315468,0.8378226473067997,0.9289708259807776,0.8576196459981427,0.9237491125485349,0.9289708259807776,0.850039430127031,3.9683659436500847,3.7411659265650647,2.1706696273502737,0.0,24.50815922428405,0,1.5,4800,6300.0,0.9379540272802928,740.9836815514313,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9669874717950928,0.9753160578210996,0.9917845540616493,1500,900,450,150,6|3|1,True,True,-
dlinear,0.0,0.0,6.204615839443222,0.0,740.9835348684052,0.9661829871781593,0.11255497938934092,2.166719240727496,1.14800022916599,1.2425409102823222,0.0,0.0,0.0,0.28045120786050204,0.22448888150108587,1.1149044080182915,0.33252562511804656,0.23732656103858626,1.555340162755961,0.353206154199687,0.22119466803725876,1.6753539119170762,1.6753539119170762,0.353206154199687,0.07275494633918494,0.6273236179634526,0.6937960431907839,0.6790223892218645,0.8718693895053444,0.7153589585018074,0.8151385756470748,0.9619143184399408,0.8232516503744907,3.3295859127833936,1.0004793479564664,0.81687470904471,0.9225712823924381,0.8329396519169613,0.9297500275637834,0.8342004163304121,0.9509335526375627,1.0004793479564664,0.8280049257640277,4.026207064337528,3.817010400913361,2.145540273099292,0.0,24.50815922428405,0,1.5,4800,6300.0,0.9379540272802928,740.9836815514313,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9669874717950928,0.9753160578210996,0.9917845540616493,1500,900,450,150,6|3|1,True,True,-
linearp,0.0,0.0,7.037419717417328,0.0,734.4043842323726,0.9497683161296778,0.11604213703636833,3.3790913999276815,1.1265661300004153,1.2210331675675803,0.0,0.0,0.0,0.2724055028128423,0.22319835593525061,0.9782348774598343,0.3334435431855898,0.23707275146432455,1.2501581946808338,0.3439192701312176,0.21981780567815984,2.953722179528341,2.953722179528341,0.3439192701312176,0.07151376731837529,0.6163686542428308,0.7002531380233169,0.6730703000285159,0.8546169672414672,0.6838946953683909,0.7862912822712785,0.9243726759509538,0.8441695872811849,3.4850085494169325,0.9204627511985959,0.8564645844641451,0.9336492146649581,0.8256100185330412,0.9178054000857643,0.7977303943173738,0.9239724553164393,0.9336492146649581,0.82660166577152,4.113984362064819,3.862918223524214,2.4781230626617647,0.0002106079339997543,27.797964268729494,1,1.5,4800,6300.0,0.9296259400992507,734.404492678408,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998966472230909,0.9592965436830563,0.9720168216069568,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,7.037419717417825,0.0,734.4043842323748,0.947546479009887,0.11978332098706576,3.9358283007375268,1.1259409193647822,1.2366402296112944,0.0,0.0,0.0,0.27572785737071975,0.2239443804881661,1.0188902540625793,0.3246614030975364,0.2346672861385396,1.1055670338973755,0.3471572185415631,0.22242607399163458,3.5464404427895726,3.5464404427895726,0.3471572185415631,0.07142936117084336,0.6219932924291136,0.702668189078453,0.6657309579009724,0.8528150249105838,0.6896502078179956,0.8033311451386596,1.0340340182903043,0.8254707408322907,3.9767394328023706,0.9265560961251491,0.8382902828056833,1.251437973538388,0.7982530055593267,0.9206554221099756,0.8073269365934315,1.0328831639245042,1.251437973538388,0.8146234083194805,4.8133549366511295,4.652527533375776,2.4643358283802073,0.00027270589200662344,27.7980263666875,1,1.5,4800,6300.0,0.9296259400992507,734.404492678408,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998966472230909,0.9592965436830563,0.9720168216069568,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,4.725657011889091,0.0,752.6673096060902,1.0353825667093053,0.19921537508168125,5.01275441009002,1.2662345185834094,1.8459868623549276,0.0,0.0,0.0,0.30369957489293725,0.2308842851173608,2.528455778464627,0.35133659490484054,0.2476195847001858,3.5112440912253318,0.3803463969116305,0.26940992636008754,4.353227146661633,4.353227146661633,0.3803463969116305,0.07664682201869326,0.6680936537329013,0.7344351016647654,0.6931919361745642,0.8968758414363074,0.756968614066318,1.1709308202455337,0.9202107133667251,0.8216649833969346,3.417522712634519,0.9208079761716086,0.8216548139039411,0.9256448427629427,0.8273316588232085,0.9091224681863345,0.7998402923587933,0.9185250957069618,0.9256448427629427,0.816275588361981,4.042315579365558,3.7961138147966307,2.414138743741368,0.003188444056098368,18.66946773895109,2,1.5,4800,6300.0,0.9527435967217841,752.6674414102094,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9101955611003173,0.9998953219630737,0.9125098921665135,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,4.725657795875472,0.0,752.6673034126055,1.0473940725548136,0.22665383623690855,5.296910725172527,1.3098419893421744,2.0435849919201425,0.0,0.0,0.0,0.30241528934307793,0.23062727415542889,2.3087661625992513,0.353249355093678,0.24900045740224538,3.532063334502943,0.3917294281180473,0.2897737387450527,4.844126532231428,4.844126532231428,0.3917294281180473,0.08931413877496938,0.6663052417186583,0.7343768134170623,0.6957243813512549,0.9009254597216374,0.7853345655075061,1.3700007609629952,0.9259031168299281,0.7883253232283429,3.3992598798081564,0.9329560477116295,0.7743104838417207,0.9223904384295037,0.8131885045225967,0.9147975604875289,0.7791481318098799,0.9233813488762207,0.9329560477116295,0.7888823733913991,4.011032804786602,3.787117609308212,2.399629225329655,0.0049616992638789196,18.67124099415887,2,1.5,4800,6300.0,0.9527435967217841,752.6674414102094,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9101955611003173,0.9998953219630737,0.9125098921665135,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,6.0294340023562505,0.0,742.3674713813714,0.9977274301993853,0.15409169395162092,4.82517720761826,1.2088352305370567,1.4772613305321167,0.0,0.0,0.0,0.2851543584111578,0.22636285562788536,1.5647126740147228,0.342204488740716,0.24127772832948827,2.7777149721395116,0.3703685830473834,0.24321067657512593,4.3874833473863575,4.3874833473863575,0.3703685830473834,0.08521422463622555,0.6493022188646863,0.7265439727632037,0.6864424299478381,0.869639131921455,0.759713089812779,0.9224870649563425,0.9238536276964097,0.8323945265042896,3.4842993408828544,0.9222150909423679,0.826690171201768,0.9270545134770917,0.8512595797153011,0.9222861380152311,0.7981693829022803,0.9238519141448968,0.9270545134770917,0.8253730446064499,4.060505606172674,3.8206447031001183,2.5717477133757716,0.001267313049877198,23.817475904764873,3,1.5,4800,6300.0,0.9397058010336328,742.3675828165699,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9622572495351338,0.9966493986152797,0.9298151597994071,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,6.0294362978121026,0.0,742.3674532472877,0.9865018012460233,0.13415702586358866,4.146298388124407,1.1851608006363232,1.331762297369007,0.0,0.0,0.0,0.28664043861263977,0.22674827222057417,1.7748910127546154,0.34137069161334693,0.24093602404090952,2.735248351096403,0.3584906710199422,0.2303872787211101,3.6882091933835692,3.6882091933835692,0.3584906710199422,0.07185023240730243,0.6474888827020824,0.7263090804310647,0.6870538549721569,0.8720194340207601,0.7372892923720841,0.8566808546051647,0.962081311521845,0.8116858317378286,3.6156450849503106,0.987328557750216,0.8068440378687316,0.9368918822601152,0.8262766726583975,0.9448357368977115,0.788296424979711,0.9563520589693476,0.987328557750216,0.8071390451689466,4.2255593359004795,3.808381795730808,2.812994123219644,0.0006218740518092675,23.816830465766802,3,1.5,4800,6300.0,0.9397058010336328,742.3675828165699,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9622572495351338,0.9966493986152797,0.9298151597994071,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,6.781260889772745,0.0,736.4280389707918,0.9434130102406383,0.11821245563047342,3.1071884439914212,1.1313753706253422,1.2304849867706773,0.0,0.0,0.0,0.2733524393094073,0.22162888032008812,1.0690298235520304,0.3233638224725701,0.2342794886705131,2.745059012165628,0.34669674845859927,0.22241159438741878,2.2844901921896614,2.745059012165628,0.34669674845859927,0.073344309149192,0.5977859808739177,0.6620718054111712,0.674330935160258,0.8653361701446564,0.711760856824884,0.7937351547287661,0.919722144040966,0.8326598584335072,3.4054671496961304,0.9197105660672728,0.8434628376843941,0.9175143982290583,0.8121075727812216,0.923654964018567,0.8114075137601349,0.9202933094382993,0.923654964018567,0.8223259747419168,3.993432169842928,3.7908543563744237,2.432114922871039,0.00010594072276802423,26.786030471725702,4,1.5,4800,6300.0,0.932187532832905,736.4281509379949,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998956268617111,0.9174111014619879,0.9271138470109526,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,6.781260889773152,0.0,736.4280389707976,0.9467480631466928,0.12165020027418529,3.9219161107921976,1.1331187608195976,1.238377924454092,0.0,0.0,0.0,0.26916439504053735,0.2204280822410752,1.0544744323356725,0.33084042215863707,0.23792421762235705,3.5671524360437674,0.34674324594750777,0.222371646903645,2.3757692401906216,3.5671524360437674,0.34674324594750777,0.07757885090697045,0.5947958234657332,0.6589051404113735,0.6784093762368579,0.8752190075431285,0.7090149701315401,0.7901244880915426,1.0003611186283006,0.8198803836470201,3.8793239180710675,0.9676117093802197,0.8305674326691254,1.089444040482046,0.7995055605908191,0.9250022933551975,0.7989682652450033,0.9940193477391545,1.089444040482046,0.8096804195016493,4.64315033080657,4.564471820730205,2.430349602676428,2.7243443024672774e-05,26.785951774445955,4,1.5,4800,6300.0,0.932187532832905,736.4281509379949,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998956268617111,0.9174111014619879,0.9271138470109526,1500,900,450,150,6|3|1,True,True,
