file,alpha,seed,dt,T,n_sources,rate_on,xm_on,xm_off,stationary_start,burn_in,H_theory,H_hat,mean_rate,mean_rate_theory,std_rate
onoff_a1.04_s00.csv,1.04,0,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.9390455930328196,257002663.73709616,250000000.0,5606224.817578216
onoff_a1.04_s01.csv,1.04,1,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.8934884983959905,233101658.98380092,250000000.0,5274772.838209805
onoff_a1.04_s02.csv,1.04,2,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.91039644851723,241515352.6337061,250000000.0,5490394.359241032
onoff_a1.04_s03.csv,1.04,3,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.915865417034969,246556260.94744587,250000000.0,5063152.650839235
onoff_a1.04_s04.csv,1.04,4,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.9004515400285776,250307802.85427225,250000000.0,5132062.997712629
onoff_a1.04_s05.csv,1.04,5,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.9083980272583514,251697581.0945643,250000000.0,5466548.056234405
onoff_a1.04_s06.csv,1.04,6,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.9021364344281941,245955562.6808928,250000000.0,5272809.515524586
onoff_a1.04_s07.csv,1.04,7,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.8825922557892389,243252579.94992736,250000000.0,5104173.076753801
onoff_a1.04_s08.csv,1.04,8,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.9104291632077421,248132325.38463688,250000000.0,5611207.137401872
onoff_a1.04_s09.csv,1.04,9,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.98,0.9055631821078084,250272691.21016303,250000000.0,5106898.943277721
onoff_a1.24_s00.csv,1.24,0,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.8217175405336746,250957185.26081258,250000000.0,4939590.885089541
onoff_a1.24_s01.csv,1.24,1,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.8677800327476358,246701586.04471567,250000000.0,5136263.757374496
onoff_a1.24_s02.csv,1.24,2,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.840809345142411,250998480.46552062,250000000.0,5007521.546437132
onoff_a1.24_s03.csv,1.24,3,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.8333231338306972,249929270.3850146,250000000.0,4847281.7406955
onoff_a1.24_s04.csv,1.24,4,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.8299140341939577,249927772.86455846,250000000.0,4976704.432572766
onoff_a1.24_s05.csv,1.24,5,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.8315897106834034,254350509.33570462,250000000.0,4909934.1710451245
onoff_a1.24_s06.csv,1.24,6,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.848204718526106,250431911.43628964,250000000.0,5070102.078099237
onoff_a1.24_s07.csv,1.24,7,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.8283891098651671,250431403.22856465,250000000.0,4773393.407027833
onoff_a1.24_s08.csv,1.24,8,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.8419228982467704,251175809.09583136,250000000.0,5079013.857529123
onoff_a1.24_s09.csv,1.24,9,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.88,0.8367654540206776,249509618.6382045,250000000.0,4939743.297145643
onoff_a1.44_s00.csv,1.44,0,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7793697499921719,250013887.10890314,250000000.0,2986466.0242811604
onoff_a1.44_s01.csv,1.44,1,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.72426405680211,250058304.04778048,250000000.0,2896426.828939153
onoff_a1.44_s02.csv,1.44,2,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7493309881682437,249309140.6977047,250000000.0,2936899.554105208
onoff_a1.44_s03.csv,1.44,3,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7484254227983059,249769012.1281406,250000000.0,2954088.6348881056
onoff_a1.44_s04.csv,1.44,4,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7570421763028254,250715972.8223559,250000000.0,2951836.3488746868
onoff_a1.44_s05.csv,1.44,5,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7656177558979662,250297225.11245033,250000000.0,3012441.822363762
onoff_a1.44_s06.csv,1.44,6,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7829375340516459,249489790.56931463,250000000.0,2961663.4158461415
onoff_a1.44_s07.csv,1.44,7,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7591864025875505,249946309.13876662,250000000.0,2960477.491192823
onoff_a1.44_s08.csv,1.44,8,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7404917241946535,250476108.2864561,250000000.0,2944626.984291664
onoff_a1.44_s09.csv,1.44,9,1.0,7200.0,500,1000000.0,0.001,0.001,True,360.0,0.78,0.7684293347534529,249675591.77469742,250000000.0,2958327.62247594
