idx,truth,norros_f,linearP_f,farima_f,persist
5808,246022056.4321289,248300174.97121578,248291439.1680596,248306912.30953965,247086408.8070348
5809,245804671.71118164,247751081.06299236,247814605.980048,247799279.08962396,246022056.43214256
5810,247844851.7746582,247503846.64375365,247586135.88886407,247566864.94952112,245804671.7110965
5811,246961616.04956055,248186904.26889282,248259498.57467347,248234616.59096766,247844851.7746137
5812,249398125.79516602,247944083.09939328,247977038.39892793,247975038.4250496,246961616.04958525
5813,250059359.04858398,248843374.87111837,248882402.00995645,248861055.9491508,249398125.79512635
5814,250035608.58642578,249268738.80711892,249250462.08791545,249252714.456413,250059359.04866785
5815,246501102.02734375,249431212.7787196,249403837.170289,249408483.81056103,250035608.5863177
5816,246097490.61132812,248143419.54509506,248138246.78309286,248151138.1366285,246501102.02746415
5817,247917601.17626953,247731784.92641088,247802173.38786608,247781935.63710037,246097490.61121148
5818,248730349.1040039,248291769.56361315,248356602.49141192,248334580.23521152,247917601.17622012
5819,249549858.07226562,248640748.8518139,248660360.8522474,248653935.52038157,248730349.1040102
5820,250260426.28271484,249030529.82232666,249028523.95801222,249024358.76439276,249549858.0723779
5821,248981945.8071289,249423776.7070565,249402594.56876788,249403019.83657297,250260426.282729
5822,251226935.41674805,249023816.6821481,248995142.0397477,249003933.4435407,248981945.80714425
5823,250906515.33544922,249882698.9383953,249871362.76842275,249860756.69540673,251226935.41681656
5824,251706276.6496582,249958343.50931367,249902396.63701358,249917430.53130323,250906515.3354504
5825,245374286.4645996,250368968.78134716,250320826.86988768,250326803.2127903,251706276.6495874
5826,248241891.9489746,248023829.9927554,247995031.67030245,248026640.1285309,245374286.4646601
5827,246482981.41748047,248671260.61904237,248760523.87365124,248720995.6335428,248241891.94895095
5828,248161126.7927246,247973819.07933375,248003608.64328355,248008355.40728313,246482981.41737905
5829,247842762.95336914,248454066.4270987,248512980.64644703,248489962.34796458,248161126.79271463
5830,247507699.3581543,248372780.58525822,248393684.90780032,248391506.75519,247842762.9533189
5831,248049588.97436523,248229145.19580156,248259411.8459161,248251904.6443516,247507699.3582516
5832,250427368.65112305,248385261.69224045,248417567.36637577,248405954.67624235,248049588.97434607
5833,243490853.0859375,249311502.4571025,249317601.3451733,249305143.08533114,250427368.65116784
5834,248535839.51391602,246788580.1263445,246782054.6967908,246809944.24988082,243490853.0859948
5835,248753232.0275879,248262272.39565623,248374916.5858469,248317007.06908935,248535839.51403743
5836,249253871.24780273,248505251.70913923,248500783.39762947,248504389.95753863,248753232.0275477
5837,248753277.1730957,248792096.61078906,248785864.88756287,248780316.5608243,249253871.24778444
5838,251437498.78979492,248687977.76094088,248674356.41618547,248674878.20168865,248753277.17303932
5839,251674374.66577148,249741886.10041812,249724429.13327217,249712120.06098816,251437498.78989276
5840,254527561.08520508,250110943.85481542,250039000.41072795,250053971.88803202,251674374.66572845
5841,253146747.47314453,251381916.00934505,251294893.04412714,251299525.63907737,254527561.08522227
5842,248574526.63891602,251207160.5264984,251071817.08998582,251108359.01617676,253146747.4731371
5843,250630572.76391602,249532507.7696478,249459669.2975409,249490041.11943612,248574526.63896856
5844,247917968.2644043,250006620.76438832,250018448.1989215,250001179.51364818,250630572.7639492
