FORECASTER   LOOKBACK   H_EST                 DATANAME  ALPHA  SEED           MSE      MASE
NORROS_F           48     fit      onoff_a1.04_s00.csv   1.04     0    7.5274e+12    0.9434
LINEARP_F          48     fit      onoff_a1.04_s00.csv   1.04     0    7.4963e+12    0.9415
FARIMA_F           48     fit      onoff_a1.04_s00.csv   1.04     0    7.4761e+12    0.9402
PERSIST            48     fit      onoff_a1.04_s00.csv   1.04     0    8.7065e+12    1.0000
NORROS_F           48     fit      onoff_a1.04_s01.csv   1.04     1    9.5248e+12    0.9236
LINEARP_F          48     fit      onoff_a1.04_s01.csv   1.04     1    9.5308e+12    0.9242
FARIMA_F           48     fit      onoff_a1.04_s01.csv   1.04     1    9.5274e+12    0.9238
PERSIST            48     fit      onoff_a1.04_s01.csv   1.04     1    1.1277e+13    0.9999
NORROS_F           48     fit      onoff_a1.04_s02.csv   1.04     2    9.3281e+12    0.9403
LINEARP_F          48     fit      onoff_a1.04_s02.csv   1.04     2    9.3060e+12    0.9396
FARIMA_F           48     fit      onoff_a1.04_s02.csv   1.04     2    9.2632e+12    0.9367
PERSIST            48     fit      onoff_a1.04_s02.csv   1.04     2    1.0833e+13    0.9997
NORROS_F           48     fit      onoff_a1.04_s03.csv   1.04     3    7.3575e+12    0.9093
LINEARP_F          48     fit      onoff_a1.04_s03.csv   1.04     3    7.3115e+12    0.9044
FARIMA_F           48     fit      onoff_a1.04_s03.csv   1.04     3    7.3436e+12    0.9071
PERSIST            48     fit      onoff_a1.04_s03.csv   1.04     3    8.9448e+12    0.9995
NORROS_F           48     fit      onoff_a1.04_s04.csv   1.04     4    8.4619e+12    0.9243
LINEARP_F          48     fit      onoff_a1.04_s04.csv   1.04     4    8.4341e+12    0.9222
FARIMA_F           48     fit      onoff_a1.04_s04.csv   1.04     4    8.4162e+12    0.9215
PERSIST            48     fit      onoff_a1.04_s04.csv   1.04     4    9.7871e+12    0.9999
NORROS_F           48     fit      onoff_a1.04_s05.csv   1.04     5    8.1113e+12    0.9336
LINEARP_F          48     fit      onoff_a1.04_s05.csv   1.04     5    8.1153e+12    0.9357
FARIMA_F           48     fit      onoff_a1.04_s05.csv   1.04     5    8.0973e+12    0.9330
PERSIST            48     fit      onoff_a1.04_s05.csv   1.04     5    9.4334e+12    1.0016
NORROS_F           48     fit      onoff_a1.04_s06.csv   1.04     6    8.0512e+12    0.9246
LINEARP_F          48     fit      onoff_a1.04_s06.csv   1.04     6    8.0157e+12    0.9226
FARIMA_F           48     fit      onoff_a1.04_s06.csv   1.04     6    8.0040e+12    0.9218
PERSIST            48     fit      onoff_a1.04_s06.csv   1.04     6    9.3525e+12    1.0000
NORROS_F           48     fit      onoff_a1.04_s07.csv   1.04     7    9.2797e+12    0.9107
LINEARP_F          48     fit      onoff_a1.04_s07.csv   1.04     7    9.2313e+12    0.9079
FARIMA_F           48     fit      onoff_a1.04_s07.csv   1.04     7    9.2408e+12    0.9079
PERSIST            48     fit      onoff_a1.04_s07.csv   1.04     7    1.1060e+13    0.9995
NORROS_F           48     fit      onoff_a1.04_s08.csv   1.04     8    1.0146e+13    0.9110
