idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7190,2001-11-06 22:20:00,994676597064.0,468252741113.3125,1169517836582.794,1175795141026.4766,1161211003915.1626,1179885077960.9844
7191,2001-11-06 22:30:00,1332127082128.0,470531298032.21875,1061757956212.4971,1058034715437.9539,1028922504614.9653,996955153982.9133
7192,2001-11-06 22:40:00,1226793739544.0,468784084092.125,1260744859230.8936,1274405811220.2625,1273344162282.5386,1330379868187.918
7193,2001-11-06 22:50:00,1142495285480.0,464482636761.375,1213536673407.3638,1203378163771.227,1212369515099.1887,1222492292213.2437
7194,2001-11-06 23:00:00,1025551991992.0,457780415986.90625,1156224538807.1829,1154890042936.2124,1144298659702.083,1135793064705.5322
7195,2001-11-06 23:10:00,959483851952.0,427591436423.28125,1051037176867.5823,1051886224207.0156,1023841221976.2493,995363012428.3635
7196,2001-11-06 23:20:00,986618660024.0,412005954962.84375,1000041804523.586,1006103015658.0304,969985236963.2491,943898370491.5742
7197,2001-11-06 23:30:00,789467886792.0,400352445048.25,1006689604354.4587,1014191784206.5216,984023653312.611,974965150109.3932
7198,2001-11-06 23:40:00,878395557296.0,381241129299.4375,866657452843.9331,867879261074.2701,822100674440.4199,770356571043.1768
7199,2001-11-06 23:50:00,715051601864.0,367684996038.65625,902563235700.913,916400895945.4237,875939290757.729,864839424035.2233
7200,2001-11-07 00:00:00,748137343432.0,373337348966.34375,812143588929.405,814502321925.5518,768425664717.3512,720703954791.68
7201,2001-11-07 00:10:00,769231594040.0,355485639331.625,796313131484.0685,808781879137.6501,759189401676.1992,730285633797.296
7202,2001-11-07 00:20:00,935936701520.0,346513426310.4375,805150468749.5614,813961697060.2859,777039103668.5513,760259381018.8278
7203,2001-11-07 00:30:00,797874749904.0,323797192172.6875,892053007503.2362,900904324423.1382,890543923527.1406,913220467382.246
7204,2001-11-07 00:40:00,805540931040.0,310852198753.90625,817594732520.1929,813876704247.2905,802785750528.8317,784929756485.2343
7205,2001-11-07 00:50:00,660846062544.0,301087879507.78125,815900674522.1392,821215104178.5339,804640919804.919,795776611793.875
7206,2001-11-07 01:00:00,676680942992.0,312805192145.375,740766653362.315,741381860932.684,712952678002.9899,672563375181.5906
7207,2001-11-07 01:10:00,751001504688.0,311115178781.03125,728317256801.0499,737086483660.9875,703524312917.6433,674990929627.6682
7208,2001-11-07 01:20:00,766885590056.0,293886386271.46875,753511947779.3724,761392351282.4646,740789601979.9801,733772712178.4355
7209,2001-11-07 01:30:00,872190341848.0,284837352005.9375,767187572402.5815,770448884920.4923,761202964894.8315,757836555790.4822
7210,2001-11-07 01:40:00,794523709808.0,263675843355.90625,822557658160.5256,826275438457.0399,831814128409.2195,851028833197.9608
7211,2001-11-07 01:50:00,838614320520.0,247248605548.53125,780039453088.6543,776080520405.1287,782634716760.8325,778096472000.629
7212,2001-11-07 02:00:00,759380703208.0,225866455266.9375,797572385588.0444,799375843283.3014,807625804416.3428,817232170238.4143
7213,2001-11-07 02:10:00,785782339896.0,201926870997.0,742686297488.1692,739458540244.7953,744621117661.1478,735441118938.0671
7214,2001-11-07 02:20:00,790599806320.0,190267012423.1875,761543024791.494,763482242082.4731,769439042731.5122,774122481322.1754
7215,2001-11-07 02:30:00,726738114784.0,171178423671.34375,757410806876.478,756121490194.4408,766698581282.9014,771511217568.1509
7216,2001-11-07 02:40:00,682725021856.0,156822852231.90625,717837562297.6753,715520650509.2765,720770136213.4113,712382543344.5483
7217,2001-11-07 02:50:00,726284456024.0,140608097128.9375,681209189611.8314,681535115986.88,679481637955.2301,666510266753.019
7218,2001-11-07 03:00:00,722625739368.0,119161081001.28125,693296614186.4259,695702136349.1345,701112361008.9507,704837439896.3457
7219,2001-11-07 03:10:00,683958594312.0,107695121014.65625,695870627244.2474,694489628063.9958,707129672263.8367,711159779381.3713
7220,2001-11-07 03:20:00,617420557072.0,91742851299.53125,665480255633.0983,663239015742.7666,673078505504.037,668006324596.8743
7221,2001-11-07 03:30:00,620919824200.0,79711674224.65625,620612032548.4902,619549744176.8575,621176072244.6165,605389379997.1295
7222,2001-11-07 03:40:00,637834955912.0,67723991518.03125,613154912075.2876,615028698712.3881,616926341136.3202,608932141493.3733
7223,2001-11-07 03:50:00,678050376968.0,54977107067.84375,617611533052.8842,618264443190.629,626126272714.1945,625088071461.8011
7224,2001-11-07 04:00:00,635850053928.0,49109343046.4375,648016012009.84,647972496728.6918,663101405788.5986,672182612946.5927
7225,2001-11-07 04:10:00,639471902096.0,37689845681.9375,618801838910.2572,615329422047.4208,628777641757.8302,624430556563.4897
7226,2001-11-07 04:20:00,674670117104.0,33044004431.15625,623235557789.6073,622833603994.3195,634853103176.6587,634826060845.2161
7227,2001-11-07 04:30:00,561841054104.0,31156908382.5625,648515865161.4785,647523567938.1184,664873570996.555,672783021055.3983
7228,2001-11-07 04:40:00,680459062064.0,31293512280.65625,583094818340.0409,578467149519.6243,583407579280.9744,561977658002.1089
7229,2001-11-07 04:50:00,646683073560.0,32837603561.84375,652832383223.7078,657137066866.5597,668810011519.9774,682003153345.1769
7230,2001-11-07 05:00:00,694464052104.0,28428424773.0,633595679779.0118,629235986343.187,644253100516.5177,642273894771.1414
7231,2001-11-07 05:10:00,713647736000.0,25173215800.0,662875520188.8722,662539428826.203,680883646006.9869,691208843131.0088
7232,2001-11-07 05:20:00,665543363960.0,22928988443.90625,681943507907.9574,678851620114.7372,700340284933.4939,711403508643.9144
7233,2001-11-07 05:30:00,766568855232.0,19224818113.1875,652896271640.0735,648462239819.898,665075658822.0883,661839193629.276
7234,2001-11-07 05:40:00,638024045736.0,20196310513.8125,719362500911.5719,719591770542.3203,744800641162.9584,767540347632.6122
7235,2001-11-07 05:50:00,563740540616.0,15546896237.46875,642682611655.5117,634642468912.4542,648579389073.8267,633374631459.6687
7236,2001-11-07 06:00:00,669524641920.0,17256003184.8125,593108306742.5017,593092400894.2761,589432314305.2155,565449647563.3497
7237,2001-11-07 06:10:00,690657593680.0,15707943075.21875,649412260102.6345,653874506638.048,660027947930.3322,667976581810.4113
7238,2001-11-07 06:20:00,668151321824.0,11826195470.21875,663746175287.0469,661100416518.2274,678854666074.0952,686775846075.0032
7239,2001-11-07 06:30:00,633722373744.0,394385573.71875,646595068433.0193,643862867601.2006,656490503012.952,656719511927.4963
7240,2001-11-07 06:40:00,710570365368.0,-8109823308.4375,622441052049.898,620533481500.1779,630251599220.0823,625218164861.8511
7241,2001-11-07 06:50:00,676398241040.0,-12023687836.3125,670142620098.2402,670644848465.1592,690443458404.4841,706656500840.1099
7242,2001-11-07 07:00:00,576502612584.0,-13909267195.78125,655159780491.9128,649793131946.0151,671719408627.961,674512661680.5278
