idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7190,2001-11-06 22:20:00,994676597064.0,0.0,1174634001743.4114,1180781057620.0425,1204641723919.5737,1188297555296.0
7191,2001-11-06 22:30:00,1332127082128.0,0.0,1059575296483.7943,1055228069236.5892,999387450785.8473,994676597064.0
7192,2001-11-06 22:40:00,1226793739544.0,0.0,1261073652389.8728,1274692166980.3667,1356109688888.7925,1332127082128.0
7193,2001-11-06 22:50:00,1142495285480.0,0.0,1216798309854.2827,1206304089179.7861,1212346683298.6982,1226793739544.0
7194,2001-11-06 23:00:00,1025551991992.0,0.0,1162945018125.566,1161296204004.7559,1138561336704.7207,1142495285480.0
7195,2001-11-06 23:10:00,959483851952.0,0.0,1082842238482.2195,1083456547061.8241,1034636399865.5435,1025551991992.0
7196,2001-11-06 23:20:00,986618660024.0,0.0,1026992110563.5171,1032655451129.4761,982353392579.5315,959483851952.0
7197,2001-11-06 23:30:00,789467886792.0,0.0,1031871592623.0166,1040393738583.5266,1017352174157.5251,986618660024.0
7198,2001-11-06 23:40:00,878395557296.0,0.0,900126704062.7242,902647880337.6106,816460903733.3971,789467886792.0
7199,2001-11-06 23:50:00,715051601864.0,0.0,934299042967.718,949508164911.9463,924749705569.2162,878395557296.0
7200,2001-11-07 00:00:00,748137343432.0,0.0,825792796520.683,830117130558.9929,750360528802.3882,715051601864.0
7201,2001-11-07 00:10:00,769231594040.0,0.0,827732136875.6316,842609714418.2966,799240384237.128,748137343432.0
7202,2001-11-07 00:20:00,935936701520.0,0.0,832256489258.4194,842483327394.6578,813186579586.496,769231594040.0
7203,2001-11-07 00:30:00,797874749904.0,0.0,933037285431.901,944082007238.9794,972182397879.8551,935936701520.0
7204,2001-11-07 00:40:00,805540931040.0,0.0,854308777112.1775,852579583979.8175,811808624528.6862,797874749904.0
7205,2001-11-07 00:50:00,660846062544.0,0.0,850273823240.3074,858456164027.3219,833450158271.2042,805540931040.0
7206,2001-11-07 01:00:00,676680942992.0,0.0,753690938933.3398,757332804784.5684,688315193386.4502,660846062544.0
7207,2001-11-07 01:10:00,751001504688.0,0.0,747298622278.3269,759492731797.819,718439283378.3113,676680942992.0
7208,2001-11-07 01:20:00,766885590056.0,0.0,787772544115.4402,798036551024.3175,789417283326.4257,751001504688.0
7209,2001-11-07 01:30:00,872190341848.0,0.0,798653180386.0933,804132552409.8765,793034771491.9133,766885590056.0
7210,2001-11-07 01:40:00,794523709808.0,0.0,867200104771.2985,873898705691.2046,894993758326.5225,872190341848.0
7211,2001-11-07 01:50:00,838614320520.0,0.0,825435539804.4188,824370813790.7985,803212874325.4775,794523709808.0
7212,2001-11-07 02:00:00,759380703208.0,0.0,850608182549.3916,856084264688.4486,855484010943.9794,838614320520.0
7213,2001-11-07 02:10:00,785782339896.0,0.0,802663735962.4153,803372318603.8806,771742218002.3623,759380703208.0
7214,2001-11-07 02:20:00,790599806320.0,0.0,813812612288.3245,820216796342.9589,807045685879.8282,785782339896.0
7215,2001-11-07 02:30:00,726738114784.0,0.0,816603544847.5322,820538799417.5261,809196712087.688,790599806320.0
7216,2001-11-07 02:40:00,682725021856.0,0.0,775225897597.6469,777995463136.6757,744370444711.0599,726738114784.0
7217,2001-11-07 02:50:00,726284456024.0,0.0,741170314640.0466,747065168312.7244,708802896974.0244,682725021856.0
7218,2001-11-07 03:00:00,722625739368.0,0.0,759984378236.7803,768015941735.8885,755480045616.7172,726284456024.0
7219,2001-11-07 03:10:00,683958594312.0,0.0,755706632422.0289,760082977041.2332,744599195483.8037,722625739368.0
7220,2001-11-07 03:20:00,617420557072.0,0.0,728550311368.1788,732590051452.724,704706380215.5397,683958594312.0
7221,2001-11-07 03:30:00,620919824200.0,0.0,680743366983.5736,685745076762.0111,642471625322.73,617420557072.0
7222,2001-11-07 03:40:00,637834955912.0,0.0,672733535731.6741,680910054470.6128,651806777468.8859,620919824200.0
7223,2001-11-07 03:50:00,678050376968.0,0.0,677661815900.403,684558860903.1304,665864352343.1958,637834955912.0
7224,2001-11-07 04:00:00,635850053928.0,0.0,701334912672.654,707511299061.0165,702565027463.3333,678050376968.0
7225,2001-11-07 04:10:00,639471902096.0,0.0,675436176417.113,678329359714.5092,654258650682.9392,635850053928.0
7226,2001-11-07 04:20:00,674670117104.0,0.0,673497266662.5507,679108146664.3572,661233143379.5686,639471902096.0
7227,2001-11-07 04:30:00,561841054104.0,0.0,693770371266.6962,698967874437.9337,694803473780.8428,674670117104.0
7228,2001-11-07 04:40:00,680459062064.0,0.0,623562811779.4263,624864901592.3099,578332968112.8666,561841054104.0
7229,2001-11-07 04:50:00,646683073560.0,0.0,689022864104.2352,698975197656.7427,707961255815.2322,680459062064.0
7230,2001-11-07 05:00:00,694464052104.0,0.0,672888792316.8807,673844695431.2301,660610695652.0056,646683073560.0
7231,2001-11-07 05:10:00,713647736000.0,0.0,700833219075.2461,705375919258.8243,708627831983.1013,694464052104.0
7232,2001-11-07 05:20:00,665543363960.0,0.0,718004824159.0424,719764210927.5651,724071696311.9155,713647736000.0
